rank,team,shots_for,goals_for,xg_for,attacking_over_under,shots_against,goals_against,xg_against,defensive_over_under,net_xg,net_goals
1,Barcelona,8260,1272,1136.851158082154,135.14884191784608,4711,386,417.06155682825164,31.06155682825164,719.7896012539022,886
2,Real Madrid,1167,147,126.7430429541403,20.256957045859707,880,92,94.33765127261859,2.3376512726185865,32.40539168152171,55
3,Paris Saint-Germain,1411,219,205.30661483848874,13.693385161511259,1000,66,80.94208446167418,14.942084461674185,124.36453037681456,153
4,Hyderabad,291,42,29.260922951489327,12.739077048510673,244,20,21.1126620794554,1.1126620794554007,8.148260872033926,22
5,AS Roma,588,79,66.48617729459568,12.513822705404323,431,32,33.23665984069799,1.236659840697989,33.24951745389769,47
6,Juventus,648,67,58.859280100774,8.140719899226,432,27,30.37427350544801,3.3742735054480093,28.48500659532599,40
7,Napoli,730,79,70.96848796097339,8.031512039026609,391,30,29.410088424438893,-0.5899115755611071,41.558399536534495,49
8,West Ham United,555,60,53.40539523692839,6.594604763071608,522,43,50.82857455594582,7.828574555945821,2.5768206809825713,17
9,Kerala Blasters,291,33,26.414334574674395,6.585665425325605,281,21,22.487217185276677,1.487217185276677,3.9271173893977185,12
10,Jamshedpur,316,39,32.81817534923657,6.181824650763431,220,22,19.738404324783716,-2.2615956752162845,13.079771024452853,17
11,Rennes,462,51,45.44689770978462,5.553102290215378,519,52,50.16782777059892,-1.8321722294010812,-4.720930060814297,-1
12,Odisha,224,29,23.653141927245958,5.346858072754042,320,38,30.2463715656157,-7.7536284343843,-6.593229638369742,-9
13,Atlético Madrid,782,87,81.68969243308091,5.310307566919093,803,77,76.40693775256175,-0.5930622474382545,5.282754680519162,10
14,Mumbai City,284,30,24.80897218457802,5.191027815421979,237,27,21.721058225070934,-5.278941774929066,3.0879139595070875,3
15,England,326,39,33.93287870761761,5.067121292382389,300,21,25.57153909480256,4.57153909480256,8.361339612815051,18
16,Montpellier,413,47,42.134435733627754,4.865564266372246,474,53,53.350743690977374,0.35074369097737446,-11.21630795734962,-6
17,Equatorial Guinea,30,9,4.422671715904487,4.577328284095513,63,3,6.318614662614195,3.318614662614195,-1.8959429467097078,6
18,Guingamp,393,44,39.523520507831435,4.476479492168565,488,47,49.67553880729559,2.675538807295588,-10.152018299464153,-3
19,Netherlands,266,34,29.586039446224238,4.4139605537757625,216,13,16.815216743685493,3.815216743685493,12.770822702538744,21
20,OGC Nice,435,52,47.813108840696756,4.186891159303244,478,39,43.86668254069395,4.866682540693951,3.9464263000028055,13
21,Colombia,117,15,11.133001475665056,3.866998524334944,106,4,7.413175639831712,3.413175639831712,3.719825835833344,11
22,Villarreal,541,61,57.133540574039536,3.866459425960464,811,83,86.07539430761784,3.0753943076178416,-28.941853733578306,-22
23,Real Betis,578,58,54.19621150464065,3.803788495359349,843,106,104.31052439329758,-1.6894756067024161,-50.11431288865693,-48
24,Russia,73,10,6.205402808606864,3.7945971913931356,114,11,11.380355070425118,0.38035507042511796,-5.1749522618182535,-1
25,Switzerland,217,26,22.236260403255294,3.7637395967447063,263,25,24.84892211523772,-0.15107788476228023,-2.612661711982426,1
26,Liverpool,717,69,65.35030236611179,3.6496976338882092,489,60,46.63348347516189,-13.366516524838111,18.716818890949902,9
27,Manchester City,633,67,64.03039973619609,2.969600263803912,367,41,42.06160511077681,1.06160511077681,21.968794625419278,26
28,Bastia,325,30,27.037551111096228,2.962448888903772,413,36,40.86860791601591,4.868607916015911,-13.831056804919683,-6
29,Chievo,423,37,34.16356031792979,2.836439682070207,600,41,47.67661893324578,6.676618933245777,-13.513058615315984,-4
30,Granada,497,44,41.290658263102706,2.7093417368972936,643,88,84.86340645546404,-3.1365935445359554,-43.57274819236134,-44
31,Ghana,47,8,5.618727835339587,2.3812721646604134,82,11,9.098605323300658,-1.9013946766993417,-3.4798774879610717,-3
32,Bordeaux,443,44,41.71412581999972,2.2858741800002775,399,51,46.284982510833984,-4.715017489166016,-4.570856690834262,-7
33,Cameroon,65,8,5.745403441687794,2.2545965583122056,77,12,10.970606405236131,-1.029393594763869,-5.225202963548337,-4
34,Mohun Bagan Super Giant,168,17,14.751049097542767,2.248950902457233,162,14,12.892453892638024,-1.1075461073619763,1.8585952049047432,3
35,Senegal,122,16,13.80452195714774,2.19547804285226,86,12,10.067266734572417,-1.9327332654275828,3.737255222575323,4
36,Bengaluru,251,26,24.02846478545247,1.9715352145475293,228,23,19.82498875442772,-3.1750112455722785,4.203476031024749,3
37,South Korea,82,8,6.24617566390174,1.7538243360982602,104,8,10.801574599511715,2.8015745995117154,-4.5553989356099756,0
38,Sassuolo,488,44,42.340184311423656,1.6598156885763444,478,36,38.737545525429134,2.737545525429134,3.6026387859945217,8
39,CD Numancia de Soria,10,2,0.3489777398664585,1.6510222601335416,45,4,6.13665676380574,2.13665676380574,-5.7876790239392815,-2
40,Boca Juniors,23,5,3.4175572299991233,1.5824427700008767,33,1,2.6334956873053197,1.6334956873053197,0.7840615426938036,4
41,Angers,424,37,35.44263429593986,1.557365704060139,444,37,41.55357874510438,4.553578745104382,-6.110944449164521,0
42,East Bengal,223,16,14.45345240527996,1.5465475947200407,296,32,26.86970457024962,-5.1302954297503796,-12.416252164969661,-16
43,Hertha Berlin,18,3,1.4956846201288114,1.5043153798711886,26,3,3.2814880176681513,0.28148801766815135,-1.78580339753934,0
44,Costa Rica,47,5,3.5282090531543844,1.4717909468456156,146,12,16.392713126059803,4.392713126059803,-12.864504072905419,-7
45,Athletic Club,685,71,69.56259444520187,1.4374055547981328,794,87,90.30250385871922,3.30250385871922,-20.739909413517353,-16
46,Panama,74,7,5.576994677760457,1.4230053222395433,77,17,10.769669112974519,-6.230330887025481,-5.192674435214062,-10
47,RB Leipzig,24,4,2.638820171737531,1.3611798282624692,29,6,2.9175685757891348,-3.0824314242108652,-0.27874840405160395,-2
48,Japan,87,10,8.647753441374928,1.3522465586250725,122,10,11.275003183705975,1.2750031837059748,-2.6272497423310472,0
49,AFC Bournemouth,474,40,38.666153839713125,1.3338461602868747,434,63,47.26424724908384,-15.735752750916163,-8.598093409370712,-23
50,Mozambique,27,3,1.6741043741091992,1.3258956258908008,38,4,2.6594765526093886,-1.3405234473906114,-0.9853721785001894,-1
51,Augsburg,26,4,2.693813343625046,1.3061866563749538,85,5,6.636637534952228,1.6366375349522277,-3.9428241913271815,-1
52,Croatia,273,28,26.790680149247034,1.2093198507529657,257,25,24.216085207962042,-0.7839147920379581,2.5745949412849924,3
53,Angola,53,8,6.823440009736413,1.1765599902635868,75,4,5.12967428788524,1.1296742878852397,1.6937657218511735,4
54,FC Heidenheim,8,2,0.8332084070683832,1.1667915929316168,38,5,5.254526342539736,0.2545263425397364,-4.421317935471353,-3
55,ATK Mohun Bagan,166,18,16.8624168061031,1.1375831938969014,156,13,10.50576847020906,-2.494231529790939,6.356648335894038,5
56,Sampdoria,436,42,40.91627421731062,1.0837257826893776,599,53,57.27692284878956,4.27692284878956,-16.360648631478938,-11
57,Mallorca,104,9,7.9783818513994795,1.0216181486005205,187,32,26.61019469541747,-5.389805304582531,-18.63181284401799,-23
58,Hoffenheim,29,5,3.990740471914352,1.0092595280856478,86,8,10.39380355008708,2.39380355008708,-6.403063078172728,-3
